year,categories,total_received,total_adjudicated,upheld,reversed,total_written,abandoned,withdrawn,dismissed,remanded,invalid
2016,ADMINISTRATIVE DISQUALIFICATION HEARING,135,164,100,6,106,,9,48,,1
2016,AGED/DISABLED WAIVER PROGRAM,58,62,9,4,13,7,16,10,16,
2016,ADULT PROTECTIVE SERVICES,22,24,11,5,16,1,,7,,
2016,ADMINISTRATIVE SERVICES ORGANIZATION,1,1,,,,,,1,,
2016,BUREAU FOR CHILD SUPPORT ENFORCEMENT,1,,,,,,,,,
2016,BURIAL,1,1,,,,1,,,,
2016,CHILD CARE - CUSTOMER,40,46,14,6,20,16,9,1,,
2016,CHILD CARE - PROVIDER,6,6,,1,1,2,2,1,,
2016,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,10,11,4,,4,1,3,2,1,
2016,CERTIFIED NURSE AIDE,29,27,12,3,15,2,3,7,,
2016,CHILD PROTECTIVE SERVICES,310,309,87,24,111,45,3,133,,17
2016,EMERGENCY ASSISTANCE,6,6,1,2,3,1,1,1,,
2016,FACILITY,3,4,,,,1,1,2,,
2016,FOSTER CARE,30,27,6,1,7,,4,16,,
2016,FEDERALLY FACILITATED MARKETPLACE,2,2,1,,1,1,,,,
2016,INTERMEDIATE CARE FACILITIES FOR INDIV. W/INTELLECTUAL DISABILITIES,2,3,1,,1,1,1,,,
2016,INTELLECTUAL DEVELOPMENTAL DISABILITIES,283,348,87,1,88,13,193,34,5,15
2016,LICENSE,1,1,,,,,1,,,
2016,LOW-INCOME ENERGY ASSISTANCE PROGRAM,45,44,2,1,3,7,24,8,,2
2016,LIFELINE,1,1,,,,,,1,,
2016,LONG-TERM CARE - FINANCIAL,25,25,4,1,5,1,14,3,,2
2016,LONG-TERM CARE - MEDICAL,29,28,5,7,12,4,10,2,,
2016,MEDICAID,409,395,20,5,25,50,238,63,2,17
2016,MEDICAL SERVICES,95,124,19,1,20,31,36,33,1,3
2016,NON-EMERGENCY MEDICAL TRANSPORTATION,6,10,,,,1,6,2,1,
2016,NURSING-HOME DISCHARGE,20,21,2,3,5,,9,7,,
2016,NON-SPECIFIED,11,11,,,,,9,1,,1
2016,PERSONAL CARE SERVICES,22,23,3,6,9,4,9,1,,
2016,PAIN MANAGEMENT CLINICS,5,8,3,,3,,1,4,,
2016,SCHOOL CLOTHING ALLOWANCE,42,42,4,1,5,17,13,4,,3
2016,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,758,741,66,9,75,189,385,77,3,12
2016,TRAUMATIC BRAIN INJURY,1,1,1,,1,,,,,
2016,UTILITY DISCOUNT PROGRAM,1,1,,,,,1,,,
2016,"WOMENS, INFANTS, AND CHILDRENS",3,2,1,,1,,1,,,
2016,WV CHILDREN'S HEALTH INSURANCE PROGRAM,6,6,,,,1,5,,,
2016,WV WORKS CASH ASSISTANCE,128,138,13,5,18,61,34,19,1,5
