year,categories,total_received,total_adjudicated,upheld,reversed,total_written,abandoned,withdrawn,dismissed,remanded,invalid
2018,ADMINISTRATIVE DISQUALIFICATION HEARING,73,78,48,5,53,,1,24,,
2018,AGED/DISABLED WAIVER PROGRAM,41,44,15,7,22,9,11,2,,
2018,ADULT PROTECTIVE SERVICES,22,23,9,5,14,4,,5,,
2018,BUREAU OF CHILD SUPPORT ENFORCEMENT,1,1,,,,,,1,,
2018,BURIAL,4,4,2,,2,1,1,,,
2018,CHILD CARE - CUSTOMER,15,19,4,3,7,9,2,1,,
2018,CHILD CARE - PROVIDER,3,3,,,,,2,1,,
2018,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,11,9,5,,5,,1,2,1,
2018,CERTIFIED NURSING AIDE,11,7,6,,6,,,1,,
2018,CHILD PROTECTIVE SERVICES,220,230,56,35,91,18,2,119,,
2018,EMERGENCY ASSISTANCE,7,7,4,,4,1,1,1,,
2018,EMEGENCY MEDICAL SERVICES,,1,1,,1,,,,,
2018,FACILITY,1,1,,,,,,1,,
2018,FOSTER ARE,23,23,3,3,6,2,2,13,,
2018,FEDERALLY FACILITATED MARKETPLACE - MEDICAID,2,,,,,,,,,
2018,HOMELESS PROGRAM,1,1,,,,1,,,,
2018,INTERMEDIATE CARE FACILITIES FOR INDIV. W/INTELLECTUAL DISABILITIES,1,1,,,,,,1,,
2018,INTELLECTUAL DEVELOPMENTAL DISABILITIES,86,112,16,,16,1,50,44,1,
2018,LOW-INCOME ENERGY ASSISTANCE PROGRAM,31,31,3,2,5,11,11,3,,1
2018,LIFELINE,,,,,,,,,,
2018,LONG-TERM CARE - FINANCIAL,37,39,6,,6,2,25,2,2,2
2018,LONG-TERM CARE - MEDICAL ELIGIBLITY,16,15,5,3,8,2,3,2,,
2018,MEDICAID,464,467,52,11,63,63,263,60,2,16
2018,MEDLEY,1,1,,,,,,1,,
2018,MEDICAL SERVICES,47,56,11,,11,12,14,19,,
2018,NON-EMERGENCY MEDICAL TRANSPORTATION,8,10,,,,,7,3,,
2018,NURSING HOME DISCHARGE,28,25,4,5,9,1,1,13,,1
2018,PERSONAL CARE SERVICES,40,33,9,5,14,13,4,2,,
2018,SCHOOL CLOTHING ALLOWANCE,25,25,6,2,8,6,9,1,,1
2018,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,643,632,91,26,117,146,299,58,3,9
2018,TRAUMATIC BRAIN INJURY,1,1,,,,,,1,,
2018,TAKE ME HOME,,1,,,,,,1,,
2018,TREASURY OFFSET PROGRAM,1,1,,,,,,1,,
2018,WV CHILDREN'S HEALTH INSURANCE PROGRAM,9,10,1,1,2,,6,2,,
2018,WEST VIRGINIA WORKS - TANF,72,74,17,5,22,29,13,10,,
