year,categories,total_received,total_adjudicated,upheld,reversed,total_written,abandoned,withdrawn_claimant_favor,withdrawn_no_change,dismissed,remanded,invalid
2015,ADMINISTRATIVE DISQUALIFICATION HEARING,152,139,92,5,97,,3,4,35,,2,
2015,ADOPTION,1,1,,,,,,,1,,,
2015,AGED/DISABLED WAIVER PROGRAM,93,103,24,14,38,13,23,8,19,,,
2015,ADULT PROTECTIVE SERVICES,21,27,11,2,13,3,1,2,7,,1,
2015,BUREAU FOR CHILD SUPPORT ENFORCEMENT,6,7,,,,1,1,1,3,,1,
2015,BURIAL,,1,,,,1,,,,,,
2015,CHILD CARE - CUSTOMER,37,36,13,1,14,19,,2,,,1,
2015,CHILD CARE - PROVIDER,9,12,2,,2,3,2,1,4,,,
2015,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,9,7,2,,2,,,1,4,,,
2015,CERTIFIED NURSE AIDE,44,43,20,1,21,4,1,1,16,,,
2015,CHILD PROTECTIVE SERVICES,381,423,108,45,153,56,4,10,194,,6,
2015,EMERGENCY ASSISTANCE,9,9,1,,1,4,1,3,,,,
2015,FACILITY,1,,,,,,,,,,,
2015,FOSTER CARE,22,27,4,4,8,3,,1,13,1,1,
2015,FEDERALLY-FACILITATED MARKETPLACE MEDICAID,11,10,2,,2,6,,2,,,,
2015,INTERMEDIATE CARE FACILITY INDIV. W/INTELLECTUAL DISABILITIES,5,4,1,,1,,,2,1,,,
2015,INTELLECTUAL DEVELOPMENTAL DISABILITIES PROGRAM,288,218,65,2,67,12,30,26,52,1,30,
2015,LICENSE,1,1,,,,,,,1,,,
2015,LOW INCOME ENERGY ASSISTANCE PROGRAM,43,44,9,,9,13,6,9,5,1,1,
2015,LONG-TERM CARE - FINANCIAL,45,44,4,,4,1,19,5,9,,6,
2015,LONG-TERM CARE - MEDICAL,34,37,4,1,5,3,9,8,10,,2,
2015,MEDICAID,525,541,34,5,39,70,161,139,111,2,19,
2015,MEDICAL SERVICES,267,276,59,1,60,64,20,46,82,,4,
2015,NON-EMERGENCY MEDICAL ASSISTANCE PROGRAM,45,48,4,1,5,9,7,4,18,,5,
2015,NURSING HOME DISCHARGE,15,16,2,3,5,1,3,1,6,,,
2015,NON-SPECIFIED PROGRAM,7,8,,,,,1,,4,,3,
2015,PERSONAL CARE SERVICES,33,44,10,8,18,11,5,2,8,,,
2015,PAIN MANAGEMENT CLINIC,4,1,,,,,,,1,,,
2015,SCHOOL CLOTHING ALLOWANCE,39,39,9,,9,13,7,4,5,,1,
2015,SPECIFIALIZED FOSTER CARE,1,1,1,,1,,,,,,25,
2015,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,666,689,68,10,78,170,180,142,90,4,,
2015,TRAUMATIC-BRAIN INJURY,1,2,,,,,2,,,,,
2015,"WOMENS, INFANTS, AND CHILDREN",3,4,2,,2,2,,,,,,
2015,WV CHILDREN'S HEALTH INSURANCE PROGRAM,6,6,,1,1,2,2,,1,,,
2015,WV WORKS CASH ASSISTANCE,156,163,27,8,35,64,15,22,21,2,4,
