year,categories,total_received,total_adjudicated,upheld,reversed,total_written,abandoned,withdrawn,dismissed,remanded,invalid
2017,ADMINISTRATIVE DISQUALIFICATION HEARING,110,104,48,15,63,,2,39,,
2017,AGED/DISABLED WAIVER PROGRAM,41,38,16,6,22,6,7,1,2,
2017,ADULT PROTECTIVE SERVICES,30,26,7,6,13,5,,7,,1
2017,BUREAU FOR CHILD SUPPORT ENFORCEMENT,1,2,1,,1,,,1,,
2017,BURIAL,1,1,1,,1,,,,,
2017,CHILD CARE - CUSTOMER,30,29,15,3,18,8,1,,1,1
2017,CHILD CARE - PROVIDER,13,12,4,4,8,1,1,2,,
2017,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,8,8,2,,2,,5,1,,
2017,CERTIFIED-NURSE AIDE,18,22,9,2,11,2,1,8,,
2017,CHILD PROTECTIVE SERVICES,249,275,93,39,132,33,5,103,,2
2017,DISASTER SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,2,2,1,,1,1,,,,
2017,EMERGENCY ASSISTANCE,6,6,2,,2,2,1,1,,
2017,EMERGENCY MEDICAL SERVICES,1,,,,,,,,,
2017,FOSTER CARE,24,28,8,1,9,5,1,12,,1
2017,FEDERALLY FACILITATED MARKETPLACE,1,2,,,,1,,1,,
2017,INTERMEDIATE CARE FACILITY FOR INDIV/ WITH INTELLECTUAL DISABILITIES,2,2,1,,1,,1,,,
2017,INTELLECTUAL DEVELOPMENTAL DISABILITIES,183,181,28,4,32,6,82,42,3,16
2017,LOW-INCOME ENERGY ASSISTANCE PROGRAM,35,36,5,1,6,8,19,2,,1
2017,LONG-TERM CARE - FINANCIAL,31,33,12,,12,2,14,4,,1
2017,LONG-TERM CARE - MEDICAL,28,28,1,1,2,2,17,5,1,1
2017,MEDICAID,429,439,31,5,36,61,245,76,4,17
2017,MEDICAL SERVICES,70,72,9,,9,8,29,21,,5
2017,NON-EMERGENCY MEDICAL TRANSPORTATION,7,6,1,2,3,,3,,,
2017,NURSING-HOME DISCHARGE,18,20,5,3,8,,6,6,,
2017,PERSONAL CARE SERVICES,21,18,,3,3,5,8,1,1,
2017,SCHOOL CLOTHING ALLOWANCE,22,22,4,,4,7,7,4,,
2017,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,624,656,79,14,93,198,299,53,,13
2017,TRAUMATIC BRAIN INJURY,2,2,,,,,2,,,
2017,TAKE ME HOME PROGRAM,3,2,,,,,2,,,
2017,"WOMENS, INFANTS, AND CHILDREN",2,3,,,,2,,1,,
2017,WV CHILDREN'S HEALTH INSURANCE PROGRAM,10,9,1,1,2,,7,,,
2017,WV WORKS CASH ASSISTANCE,85,84,18,6,24,28,19,10,1,2
